propuestas,organizador,facultad,nombre
"Crear recursos de comunicación para facilitar la convivencia en el campus de Ciencias de la Salud Universidad Politécnica de Valencia","Cesar Rosselló Toro",Psicología,"Universidad Europea del Atlántico"
"Quitar las tarifas de pago en el parking de estudiantes Psicología Universidad de Santiago de Compostela","Heliodoro Maldonado Hoz",Información,"Universidad Autónoma de Barcelona"
"Quitar las restricciones al acceso a instalaciones deportivas Ciencias Económicas Universidad de Alicante","Hilario Macias Villalobos",Veterinaria,"Universidad de La Coruña"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Agronomía Universidad Politécnica de Valencia","Berto Manzanares Manuel",Humanidades,"Universidad de Diseño, Innovación y Tecnología"
"Mejorar Instalaciones deportivas facultad de Ciencias Sociales Universidad IE","Flavio Ramón Escobar","Ciencias Exactas","Universidad de Castilla-La Mancha"
"Mejorar Instalaciones deportivas facultad de Educación Física Universidad de La Rioja","Nayara Arce",Comunicación,"Universidad Rey Juan Carlos"
"Quitar las tarifas de pago en el parking de estudiantes Diseño Universidad Miguel Hernández de Elche","Natalia Fajardo Salgado","Ciencias Sociales","Universidad de Cantabria"
"Mejorar Instalaciones deportivas facultad de Química Universidad Católica San Antonio","Bruno Landa-Falcón","Ciencias Económicas","Universidad Europea Miguel de Cervantes"
"Quitar las restricciones al acceso a instalaciones deportivas Psicología Universidad Ramon Llull","María Carmen Salcedo Aroca",Humanidades,"Universidad Loyola Andalucía"
"Mejorar Instalaciones deportivas facultad de Ingeniería Universidad Pablo de Olavide","Clemente Llorente Herrero","Ciencias Sociales","Universidad de Burgos"
"Quitar las tarifas de pago en el parking de estudiantes Ciencias Económicas Universidad Politécnica de Valencia","Pilar Mesa-Gibert",Veterinaria,"Universidad de Jaén"
"Mejorar Instalaciones deportivas facultad de Comunicación Universidad de León","Cristina Bertrán Silva","Ciencias de la Salud","Universidad Rey Juan Carlos"
"Mejorar Instalaciones deportivas facultad de Matemática Universidad de Huelva","Santiago Cid Ocaña",Diseño,"Universidad CEU San Pablo"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Matemática Universidad de Mondragón","Benito Bárcena Gil",Veterinaria,"Universidad IE"
"Quitar las tarifas de pago en el parking de estudiantes Ciencias Exactas Universidad Complutense de Madrid","Ruperto Carretero Quero","Educación Física","Universidad CEU San Pablo"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Agronomía Universidad Internacional de Valencia","Arturo Águila-Riquelme",Filosofía,"Universidad Alfonso X el Sabio"
"Mejorar Instalaciones deportivas facultad de Arquitectura Universidad de Sevilla","María Belén Piñeiro Rebollo",Derecho,"Universidad de Oviedo"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Filosofía Universidad Católica de Valencia San Vicente Mártir","Oriana Pinto Morales",Psicología,"Universidad Tecnológica Atlántico-Mediterráneo"
"Quitar las tarifas de pago en el parking de estudiantes Ciencias Físicas y Matemáticas Universidad Pontificia de Salamanca","Ruperto Larrañaga Ángel",Medicina,"Universidad de Mondragón"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Derecho Universidad de las Islas Baleares","Albina Barberá Vilaplana",Información,"Universidad Intercontinental de la Empresa"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Humanidades Universidad de Huelva","Saturnina Moles Mena",Matemática,"Universidad de Diseño, Innovación y Tecnología"
"Mejorar Instalaciones deportivas facultad de Odontología Universidad San Jorge","Anna Batalla","Ciencias de la Educación","Universidad Politécnica de Cataluña"
"Quitar las restricciones al acceso a instalaciones deportivas Arquitectura Universidad de Vich","Tristán Beltran Amo","Ciencias de la Educación","Universidad de Salamanca"
"Mejorar el sistema de becas y métodos de pago","Azeneth Villalonga-Heredia",Ingeniería,"Universidad de Alcalá"
"Crear programas de información de becas y programas postdoctorales para nuevos estudiantes","Julieta Pelayo Palomar",Agronomía,"Universidad Eclesiástica San Dámaso"
"Quitar las capillas y lugares de culto en las instalaciones de educación pública universitaria","Yésica Cabañas Verdugo","Ciencias Sociales","Universidad de León"
"Quitar las capillas y lugares de culto en las instalaciones de educación pública universitaria","Graciela Fidela Bilbao Terrón",Veterinaria,"Universidad San Jorge"
"Crear programa de formación europeo","Concepción Heras",Diseño,"Universidad de Jaén"
"Crear sistemas de riego de jardines acordes a los requerimientos de sostenibilidad de la UE","Marco Ruiz",Agronomía,"Universidad Europea de Canarias"
"Crear programa de formación europeo","Carina Arteaga-Vilalta","Ciencias Exactas","Universidad Abierta de Cataluña"
"Quitar las capillas y lugares de culto en las instalaciones de educación pública universitaria","Cristóbal Gargallo Soriano","Ciencias Exactas","Universidad de Vigo"
"Crear programa de formación europeo","Plácido Palacio-Olmedo",Arquitectura,"Universidad de León"
"Mejorar el sistema de becas y métodos de pago","Manu Delgado-Bellido","Ciencias de la Educación","Universidad Europea de Madrid"
"Promover la cultura musical y la colaboración con centros superiores de enseñanza de música","Gabriel Rosado-Burgos",Matemática,"Universidad Internacional de Cataluña"
"Crear programa de formación europeo","Amancio Pascual Arcos","Ciencias de la Educación","Universidad Camilo José Cela"
"Promover la cultura musical y la colaboración con centros superiores de enseñanza de música","Aroa de Saldaña",Diseño,"Universidad de Murcia"
"Promover dinámicas de cooperación entre universidades","Renata Acevedo Planas","Ciencias Exactas","Universidad de La Rioja"
"Crear programas de información de becas y programas postdoctorales para nuevos estudiantes","Teodora Romero",Comunicación,"Universidad del País Vasco"
"Quitar las capillas y lugares de culto en las instalaciones de educación pública universitaria","Concha Bartolomé Alcaraz",Comunicación,"Universidad de Jaén"
"Crear programa de formación europeo","Roque Santos Córdoba",Ingeniería,"Universidad Abierta de Cataluña"
"Mejorar el sistema de becas y métodos de pago","Abigaíl Mateo Armas",Ingeniería,"Universidad de Burgos"
"Quitar las capillas y lugares de culto en las instalaciones de educación pública universitaria","Guiomar Millán-Lobato",Medicina,"Universidad Camilo José Cela"
"Crear programa de formación europeo","Leonor de Roselló","Ciencias de la Educación","Universidad de Cádiz"
"Crear programa de formación europeo","Trinidad Sotelo Peinado","Educación Física","Universidad Internacional de Andalucía"
"Mejorar acceso a pago de créditos ECTS","María Carmen del Ponce",Humanidades,"Universidad Fernando Pessoa-Canarias"
"Crear sistemas de riego de jardines acordes a los requerimientos de sostenibilidad de la UE","Heriberto Luz Saez",Diseño,"Universidad Fernando III"
"Crear programa de formación europeo","Teodora Osorio Reig",Agronomía,"Universidad de Deusto"
"Promover la cultura musical y la colaboración con centros superiores de enseñanza de música","Josefina Bonet Palomino",Filosofía,"Universidad Tecnológica Atlántico-Mediterráneo"
"Crear programas de información de becas y programas postdoctorales para nuevos estudiantes","Evelia Fabra",Matemática,"Universidad Autónoma de Madrid"
"Crear programas de información de becas y programas postdoctorales para nuevos estudiantes","Joel Madrigal Quintanilla",Agronomía,"Universidad Pontificia Comillas"
"Promover la cultura musical y la colaboración con centros superiores de enseñanza de música","Andrés Felipe Cal Linares",Veterinaria,"Universidad Politécnica de Cartagena"
"Mejorar acceso a pago de créditos ECTS","Horacio Patiño Robledo","Ciencias Sociales","Universidad Politécnica de Cataluña"
"Crear programas de información de becas y programas postdoctorales para nuevos estudiantes","Damián Guzmán Calderón",Medicina,"Universidad de Las Palmas de Gran Canaria"
"Promover la cultura musical y la colaboración con centros superiores de enseñanza de música","Moreno de Elorza",Medicina,"Universidad Rovira i Virgili"
"Quitar las capillas y lugares de culto en las instalaciones de educación pública universitaria","Teodoro Rosa Arana",Química,"Universidad de Cádiz"
"Crear sistemas de riego de jardines acordes a los requerimientos de sostenibilidad de la UE","Gala Olivia Fonseca Ballester","Ciencias Exactas","Universidad Fernando III"
"Promover dinámicas de cooperación entre universidades","Luisa Cerro Córdoba",Humanidades,"Universidad Politécnica de Cartagena"
"Crear programas de información de becas y programas postdoctorales para nuevos estudiantes","Samanta Torre Otero","Ciencias Sociales","Universidad de Extremadura"
"Crear programas de información de becas y programas postdoctorales para nuevos estudiantes","Modesta Galvez Armas",Química,"ESIC Universidad"
"Promover dinámicas de cooperación entre universidades","Perlita Román Frutos",Veterinaria,"Universidad de Mondragón"
"Mejorar el sistema de becas y métodos de pago","Emigdio Benítez Rios","Ciencias Económicas","Universidad Fernando III"
"Crear programas de información de becas y programas postdoctorales para nuevos estudiantes","Malena Cabo Pla",Odontología,"Universidad de Valencia"
"Promover la cultura musical y la colaboración con centros superiores de enseñanza de música","Sara Crespo Esparza",Odontología,"Universidad Autónoma de Barcelona"
"Mejorar el sistema de becas y métodos de pago","Bautista Llorente González",Humanidades,"Universidad de Vich"
"Promover dinámicas de cooperación entre universidades","Dorita Urrutia Arana",Ingeniería,"Universidad a Distancia de Madrid"
"Crear programa de formación europeo","Calisto Isern-Alarcón",Agronomía,"Universidad de Cádiz"
"Crear sistemas de riego de jardines acordes a los requerimientos de sostenibilidad de la UE","Ligia Company",Derecho,"Universidad de Gerona"
"Mejorar acceso a pago de créditos ECTS","Mariano Quesada-Tejero",Humanidades,"Universidad de Barcelona"
"Crear sistemas de riego de jardines acordes a los requerimientos de sostenibilidad de la UE","Tere Tejero Monreal",Psicología,"Universidad de Cádiz"
"Crear programa de formación europeo","Apolinar Fuentes Garriga",Comunicación,"Universidad Intercontinental de la Empresa"
"Mejorar el sistema de becas y métodos de pago","Jose Quesada Valencia","Ciencias de la Educación","Universidad Internacional de la Empresa"
"Crear programa de formación europeo","Roberta de Priego",Comunicación,"Universidad de Vich"
"Promover la cultura musical y la colaboración con centros superiores de enseñanza de música","Rosenda Ballesteros Fonseca","Ciencias Exactas","Universidad Fernando Pessoa-Canarias"
"Crear programas de información de becas y programas postdoctorales para nuevos estudiantes","Herberto Benet Muñoz","Ciencias Físicas y Matemáticas","Universidad Europea de Valencia"
"Crear sistemas de riego de jardines acordes a los requerimientos de sostenibilidad de la UE","Florentina Cadenas-Torrijos","Educación Física","Universidad Fernando Pessoa-Canarias"
"Crear sistemas de riego de jardines acordes a los requerimientos de sostenibilidad de la UE","Gilberto Lopez Cantón",Comunicación,"Universidad de Oviedo"
"Crear programa de formación europeo","Ignacio Tristán Tena Barrio","Ciencias de la Educación","Universidad de Cantabria"
"Mejorar el sistema de becas y métodos de pago","Guillermo Pombo Herrero","Educación Física","Universidad Europea de Canarias"
"Mejorar el sistema de becas y métodos de pago","Jacobo de Benavente",Humanidades,"Universidad Rey Juan Carlos"
"Mejorar el sistema de becas y métodos de pago","Alejandro Felipe Tena Coronado","Ciencias de la Educación","Universidad de Córdoba"
"Quitar las capillas y lugares de culto en las instalaciones de educación pública universitaria","Baudelio Amílcar Fernandez Albero",Veterinaria,"Universidad Europea del Atlántico"
"Crear programas de información de becas y programas postdoctorales para nuevos estudiantes","Fito Clímaco Saura Amaya",Veterinaria,"Universidad de Alcalá"
"Crear sistemas de riego de jardines acordes a los requerimientos de sostenibilidad de la UE","Adalberto Gordillo Amat","Ciencias Exactas","Universidad Politécnica de Madrid"
"Promover dinámicas de cooperación entre universidades","Julia Nogués Ángel",Derecho,"Universidad Loyola Andalucía"
"Crear programa de formación europeo","Amarilis Catalá Guardiola",Derecho,"Universidad de Barcelona"
"Mejorar acceso a pago de créditos ECTS","Rosario Orozco-Macias","Ciencias Económicas","Universidad Pontificia de Salamanca"
"Promover la cultura musical y la colaboración con centros superiores de enseñanza de música","Maxi Arrieta","Educación Física","Universidad de Murcia"
"Crear programas de información de becas y programas postdoctorales para nuevos estudiantes","Benjamín del Gordillo","Ciencias de la Salud","Universidad de Vigo"
"Promover dinámicas de cooperación entre universidades","Curro Oliveras-Mayol",Ingeniería,"Universidad Autónoma de Barcelona"
"Promover dinámicas de cooperación entre universidades","Violeta de Mayoral","Educación Física","Universidad de Barcelona"
"Promover la cultura musical y la colaboración con centros superiores de enseñanza de música","Esteban Luis Ángel Armengol Bas",Ingeniería,"Universidad Europea de Canarias"
"Mejorar el sistema de becas y métodos de pago","Edelmiro Vega","Ciencias de la Salud","Universidad Miguel Hernández de Elche"
"Crear sistemas de riego de jardines acordes a los requerimientos de sostenibilidad de la UE","Caridad de Benavent",Arquitectura,"Universidad Europea del Atlántico"
"Promover la cultura musical y la colaboración con centros superiores de enseñanza de música","Rolando Aranda Trillo",Agronomía,"Universidad Alfonso X el Sabio"
"Promover la cultura musical y la colaboración con centros superiores de enseñanza de música","Eligia Sastre-Machado","Ciencias de la Educación","Universidad de Alcalá"
"Crear programa de formación europeo","Sebastian Sastre Castelló",Información,"Universidad CEU San Pablo"
"Crear sistemas de riego de jardines acordes a los requerimientos de sostenibilidad de la UE","Raimundo Nogués Rosselló",Derecho,"Universidad Politécnica de Valencia"
"Crear sistemas de riego de jardines acordes a los requerimientos de sostenibilidad de la UE","Jimena Paz Iniesta","Ciencias de la Salud","Universidad Antonio de Nebrija"
"Promover la cultura musical y la colaboración con centros superiores de enseñanza de música","Herberto Viana Benito","Ciencias de la Educación","Universidad de Cádiz"
"Crear programas de información de becas y programas postdoctorales para nuevos estudiantes","Reina Tormo",Odontología,"Universidad Católica San Antonio"
"Mejorar acceso a pago de créditos ECTS","Anastasio Arribas Vila",Medicina,"Universidad de Salamanca"
"Crear sistemas de riego de jardines acordes a los requerimientos de sostenibilidad de la UE","Tania Solsona Olmedo",Medicina,"Universidad Europea Miguel de Cervantes"
"Mejorar el sistema de becas y métodos de pago","Virgilio Suárez Alcántara",Veterinaria,"Universidad de Navarra"
"Mejorar el sistema de becas y métodos de pago","Isidro Rodrigo Soler",Humanidades,"Universidad de La Rioja"
"Crear sistemas de riego de jardines acordes a los requerimientos de sostenibilidad de la UE","Pastor Casado-Salazar",Derecho,"Universidad Fernando Pessoa-Canarias"
"Mejorar acceso a pago de créditos ECTS","Lisandro Cózar-Soria",Odontología,"Universidad CEU Cardenal Herrera"
"Crear sistemas de riego de jardines acordes a los requerimientos de sostenibilidad de la UE","Victoria Amorós Company",Matemática,"Universidad Politécnica de Valencia"
"Crear programa de formación europeo","Chuy Ciro Beltrán Becerra",Agronomía,"Universidad Politécnica de Cataluña"
"Mejorar el sistema de becas y métodos de pago","Modesta Galvez Armas",Química,"ESIC Universidad"
"Crear programas de información de becas y programas postdoctorales para nuevos estudiantes","Luisa Miró Córdoba",Química,"Universidad de Castilla-La Mancha"
"Mejorar el sistema de becas y métodos de pago","Jacinto Puente Fuertes",Psicología,"Universidad Francisco de Vitoria"
"Promover dinámicas de cooperación entre universidades","Albano Mayol Viñas",Información,"Universidad de La Coruña"
"Crear programa de formación europeo","Mercedes Berenguer Sevilla",Química,"Universidad Complutense de Madrid"
"Promover dinámicas de cooperación entre universidades","María Manuela Acedo Hervás",Psicología,"Universidad de Valencia"
"Promover la cultura musical y la colaboración con centros superiores de enseñanza de música","Balduino Casal Gimenez",Psicología,"Universidad de Alcalá"
"Crear programas de información de becas y programas postdoctorales para nuevos estudiantes","Julie Lloret","Ciencias de la Educación","Universidad de Almería"
"Crear programa de formación europeo","Amaro Barba Gomis","Ciencias Sociales","Universidad de Oviedo"
"Promover la cultura musical y la colaboración con centros superiores de enseñanza de música","Gala Cortes Mateo",Psicología,"Universidad Pública de Navarra"
"Crear programas de información de becas y programas postdoctorales para nuevos estudiantes","Lorena Sarmiento Villalba",Química,"Universidad Tecnológica Atlántico-Mediterráneo"
"Promover la cultura musical y la colaboración con centros superiores de enseñanza de música","Domitila Cañas","Ciencias Exactas","Universidad Francisco de Vitoria"
"Mejorar acceso a pago de créditos ECTS","Isaac Borja Peláez Royo",Comunicación,"Universidad Católica San Antonio"
"Crear programa de formación europeo","Rolando Segarra Alcázar",Medicina,"Universidad Europea de Canarias"
"Mejorar el sistema de becas y métodos de pago","Maxi Dominga Prada Bautista",Arquitectura,"Universidad Pontificia de Salamanca"
"Quitar las capillas y lugares de culto en las instalaciones de educación pública universitaria","Artemio Borrell",Información,"Universidad de Valencia"
"Mejorar el sistema de becas y métodos de pago","Lara de Barragán",Odontología,"Universidad de La Coruña"
"Crear sistemas de riego de jardines acordes a los requerimientos de sostenibilidad de la UE","Trinidad Tomé Barriga",Veterinaria,"Universidad de La Laguna"
"Mejorar acceso a pago de créditos ECTS","Macario Zamorano-Pons",Veterinaria,"Universidad de Barcelona"
"Promover la cultura musical y la colaboración con centros superiores de enseñanza de música","Valerio Doménech Alemán",Derecho,"Universidad Pontificia Comillas"
"Mejorar acceso a pago de créditos ECTS","Macario Marí Morata",Medicina,"Universidad Autónoma de Barcelona"
"Mejorar acceso a pago de créditos ECTS","Yago Blanch Ferrera","Educación Física","Universidad Pablo de Olavide"
"Crear programas de información de becas y programas postdoctorales para nuevos estudiantes","Ignacio Estrada Pablo",Química,"Universidad de Mondragón"
"Quitar las capillas y lugares de culto en las instalaciones de educación pública universitaria","Salud Marquez Iborra",Filosofía,"Universidad Pompeu Fabra"
"Mejorar el sistema de becas y métodos de pago","Amarilis de Jurado","Educación Física","Universidad Loyola Andalucía"
"Promover la cultura musical y la colaboración con centros superiores de enseñanza de música","Verónica Fanny Bou Lozano",Química,"Universidad Loyola Andalucía"
"Promover la cultura musical y la colaboración con centros superiores de enseñanza de música","Alexandra Cantón Rios",Humanidades,"Universidad Pompeu Fabra"
"Promover dinámicas de cooperación entre universidades","Saturnino Villena Robledo",Información,"Universidad Europea del Atlántico"
"Crear programa de formación europeo","Fulgencio Escudero Pacheco",Medicina,"Universidad Pablo de Olavide"
"Mejorar acceso a pago de créditos ECTS","Cloe Llanos-Franco",Medicina,"Universidad Europea de Valencia"
"Quitar las capillas y lugares de culto en las instalaciones de educación pública universitaria","Soledad Vazquez Pérez",Odontología,"Universidad Europea de Madrid"
"Mejorar el sistema de becas y métodos de pago","Bernarda Coloma Fernandez",Arquitectura,"Universidad de Almería"
"Promover dinámicas de cooperación entre universidades","Adoración de Jiménez",Medicina,"Universidad Eclesiástica San Dámaso"
"Mejorar el sistema de becas y métodos de pago","Gilberto Abascal Macias","Ciencias Exactas","Universidad Europea de Canarias"
"Crear programa de formación europeo","Che Rubio",Psicología,"Universidad Europea del Atlántico"
"Quitar las capillas y lugares de culto en las instalaciones de educación pública universitaria","Josefa Conde-Lucas","Ciencias Físicas y Matemáticas","Universidad de La Laguna"
"Crear programas de información de becas y programas postdoctorales para nuevos estudiantes","Felicia Cabello Espejo",Matemática,"Universidad IE"
"Promover la cultura musical y la colaboración con centros superiores de enseñanza de música","Crescencia Narváez Asensio","Ciencias de la Educación","Universidad Europea de Madrid"
"Quitar las capillas y lugares de culto en las instalaciones de educación pública universitaria","Aránzazu Sebastián Saura",Comunicación,"Universidad de las Islas Baleares"
"Crear programas de información de becas y programas postdoctorales para nuevos estudiantes","Aránzazu de Rebollo","Ciencias Exactas","Universidad Tecnológica Atlántico-Mediterráneo"
"Quitar las capillas y lugares de culto en las instalaciones de educación pública universitaria","Fito Peinado Fernandez","Ciencias de la Salud","Universidad Internacional Villanueva"
"Crear sistemas de riego de jardines acordes a los requerimientos de sostenibilidad de la UE","Olimpia Prudencia Avilés Alfonso",Arquitectura,"Universidad de La Coruña"
"Crear programas de información de becas y programas postdoctorales para nuevos estudiantes","Abraham Sola-Castelló",Química,"Universidad Pompeu Fabra"
"Crear sistemas de riego de jardines acordes a los requerimientos de sostenibilidad de la UE","Isaura Corominas Arellano","Ciencias de la Educación","Universidad de Deusto"
"Crear programa de formación europeo","Juanita Palau Ponce",Diseño,"Universidad de Las Palmas de Gran Canaria"
"Promover la cultura musical y la colaboración con centros superiores de enseñanza de música","Miguel Ángel Andrés Burgos Bustos","Educación Física","Universidad Internacional Menéndez Pelayo"
"Promover la cultura musical y la colaboración con centros superiores de enseñanza de música","Bartolomé Castillo Collado","Ciencias Exactas","Universidad de La Laguna"
"Crear programa de formación europeo","Renato Bou Valle",Información,"Universidad Católica Santa Teresa de Jesús de Ávila"
"Quitar las capillas y lugares de culto en las instalaciones de educación pública universitaria","Borja Lozano Prats","Ciencias Físicas y Matemáticas","Universidad Internacional de Cataluña"
"Promover la cultura musical y la colaboración con centros superiores de enseñanza de música","Asunción Cabrero Blanco",Agronomía,"Universidad de Cantabria"
"Quitar las capillas y lugares de culto en las instalaciones de educación pública universitaria","José María Barreda Rivero",Veterinaria,"Universidad de Valencia"
"Promover dinámicas de cooperación entre universidades","Amparo Castells Muñoz",Diseño,"Universidad Tecnológica Atlántico-Mediterráneo"
"Mejorar acceso a pago de créditos ECTS","Fabricio Zorrilla Hernando",Medicina,"Universidad Fernando III"
"Promover la cultura musical y la colaboración con centros superiores de enseñanza de música","Trinidad Arribas",Filosofía,"Universidad de Barcelona"
"Mejorar acceso a pago de créditos ECTS","María José Riba Herrera",Filosofía,"Universidad de La Rioja"
"Promover la cultura musical y la colaboración con centros superiores de enseñanza de música","Reyes de Caparrós","Ciencias Exactas","Universidad de Cantabria"
"Promover dinámicas de cooperación entre universidades","Leandro Navarro Baena",Psicología,"Universidad de Valladolid"
"Crear programa de formación europeo","Pelayo Corral Guzman",Diseño,"Universidad Eclesiástica San Dámaso"
"Crear programas de información de becas y programas postdoctorales para nuevos estudiantes","Amanda Cruz-Domingo",Psicología,"Universidad de Alcalá"
"Crear programas de información de becas y programas postdoctorales para nuevos estudiantes","Lucas del Boada","Ciencias de la Educación","Universidad Europea de Valencia"
"Promover dinámicas de cooperación entre universidades","Marina Fuertes Acosta",Diseño,"Universidad Internacional Isabel I de Castilla"
"Mejorar el sistema de becas y métodos de pago","Aurelia Solana Marco",Medicina,"Universidad Internacional Villanueva"
"Quitar las capillas y lugares de culto en las instalaciones de educación pública universitaria","Ana Sofía Bermejo Barreda",Arquitectura,"Universidad de Gerona"
